name,country,city.pop,mean.range,mean.rain,mean.hum,mean.mean,cum.cases,max.b,avg.b,local.trans,mean.mean.sq
Colombia-Casanare,Colombia,11.78218895,10.93650794,1.888230051,74.68253968,14.06746032,52,4.000085715,0.833344245,1,197.8934398
Colombia-Putumayo,Colombia,10.49404814,10.33333333,2.590133555,78.67063492,22.29761905,26,4.50026221,0.472242492,1,497.1838152
Colombia-Caldas,Colombia,12.82476564,9.277777778,2.43094379,78.00793651,22.0952381,23,2.500123559,0.097227223,1,488.1995465
Colombia-Amazonas,Colombia,10.18866649,10.43121693,1.085150524,58.21560847,29.23809524,15,1.000008065,0.055555976,1,854.8662132
Colombia-San_Andres,Colombia,10.89116828,4.195054945,2.410252624,80.61813187,27.56318681,3.000000003,0,0,0,759.7292673
Colombia-Boyaca,Colombia,12.14260022,10.19473104,2.713824372,78.65952381,15.11377866,15,0,0,0,228.4263054
Colombia-Quindio,Colombia,12.58348116,8.232804233,-0.40605397,66.86111111,28.76917989,11,0,0,0,827.6657118
Colombia-Narino,Colombia,12.83814198,8.316137566,0.57133319,72.77248677,18.52777778,14,0,0,0,343.2785494
Colombia-Vaupes,Colombia,9.717157974,6.031746032,1.171844434,80.81349206,25.46031746,7.000000004,0,0,0,648.2277652
Colombia-Choco,Colombia,11.59542669,7.233465608,3.736881745,82.42063492,27.10846561,1.000000004,0,0,0,734.8689076
Ecuador-Sucumbios,Ecuador,11.62589694,7.052238806,-3.25,81.51705757,25.60181237,25.00000001,1.000051047,0.014926135,1,655.4527965
Ecuador-Santo_Domingo_de_los_Tsachilas,Ecuador,12.98275642,7.653268765,3.815134104,73.1937046,25.18547215,144,13.00197362,1.612254941,1,634.3080077
Ecuador-Santa_Elena,Ecuador,12.08033934,3.272366522,1.100474683,80.40873016,24.75541126,35.00000001,2.000175734,0.313452467,1,612.8303864
Ecuador-Pichincha,Ecuador,14.78786021,12.89850746,3.371044775,79.90405117,16.04690832,41.00000001,2.000024837,0.059702107,1,257.5032665
Ecuador-Manabi,Ecuador,12.65580979,6.343283582,2.206793692,85.45415778,25.28144989,1520,0,0,0,639.1517087
Ecuador-Los_Rios,Ecuador,12.22415811,8.051172708,2.084072355,72.52452026,27.21748401,108,9.000597743,1.119485801,1,740.7914358
Ecuador-Guayas,Ecuador,14.78814003,8.051172708,2.084072355,72.52452026,27.21748401,1106,73.01188638,16.03937875,1,740.7914358
Ecuador-Galapagos,Ecuador,9.850086776,6.321250888,1.02501326,79.08742004,25.47085999,6.000000007,0,0,0,648.7647084
Ecuador-Esmeraldas,Ecuador,12.26881268,5.20931059,1.195900935,79.72103767,26.05913291,141,23.00405801,1.089703689,1,679.0784079
Ecuador-El_Oro,Ecuador,12.54215195,6.251599147,-3.25,84.11656006,26.29424307,104,6.000687234,0.806056643,1,691.3872186
Ecuador-Bolivar,Ecuador,9.524055621,10.20469083,0.148006537,73.93390192,15.94314144,7.000000007,0,0,0,254.1837588
Ecuador-Imbabura,Ecuador,12.26075021,9.95,3.315307099,85.05749129,15.23763066,2.000000007,0,0,0,232.1853882
Ecuador-Chimborazo,Ecuador,12.45203388,11.53833737,-0.360856112,71.60290557,15.00887813,2.000000006,0,0,0,225.2664226
